Total_words: 3078 
Word	Word_Count
('Data', 'Scientist')	18	
('Austin', 'TX')	13	
('Machine', 'Learning')	9	
('eBay', 'Inc')	8	
('Civitas', 'Learning')	7	
('machine', 'learning')	7	
('Monster', 'LinkedIn')	7	
('data', 'sources')	6	
('analytics', 'team')	6	
('higher', 'education')	5	
('Big', 'Data')	5	
('team', 'members')	5	
('Scientist', 'Austin')	5	
('Texas', 'Austin')	5	
('University', 'Texas')	5	
('amounts', 'data')	4	
('biomedical', 'informatics')	4	
('computer', 'science')	4	
('eBay', 'Enterprise')	4	
('LinkedIn', 'Indeed')	4	
('data', 'mining')	4	
('highly', 'visible')	4	
('LinkedIn', 'indeed')	4	
('using', 'existing')	4	
('math', 'statistics')	4	
('email', 'address')	4	
('existing', 'account')	4	
('Healthcare', 'Data')	4	
('solutions', 'bring')	3	
('advanced', 'analytics')	3	
('bring', 'results')	3	
('mining', 'machine')	3	
('Python', 'Perl')	3	
('Recruiters', 'Employers')	3	
('Remember', 'help')	3	
('Learning', 'Big')	3	
('rights', 'reserved')	3	
('Stories', 'solutions')	3	
('using', 'tools')	3	
('resume', 'resume')	3	
('Employers', 'Insights')	3	
('UNIX', 'command')	3	
('mathematics', 'physics')	3	
('Non', 'citizen')	3	
('healthcare', 'industry')	3	
('command', 'line')	3	
('5', 'years')	3	
('applied', 'mathematics')	3	
('data', 'sets')	3	
('open', 'source')	3	
('required', 'apply')	3	
('Internal', 'Tool')	3	
('predictive', 'analytics')	3	
('CyberCoders', 'account')	3	
('account', 'using')	3	
('Tool', 'Creation')	3	
('product', 'managers')	3	
('CyberCoders', 'Inc')	3	
('learning', 'techniques')	3	
('Data', 'Analysis')	3	
('students', 'learn')	2	
('Identify', 'new')	2	
('Indeed', 'Log')	2	
('sources', 'find')	2	
('identify', 'design')	2	
('identity', 'authorization')	2	
('Launches', 'Openings')	2	
('practical', 'data')	2	
('visualizations', 'intuitively')	2	
('sources', 'government')	2	
('prove', 'identity')	2	
('relationships', 'product')	2	
('well', 'finish')	2	
('per', 'week')	2	
('HBase', 'cluster')	2	
('members', 'efficiently')	2	
('datasets', 'complex')	2	
('appropriate', 'datasets')	2	
('individual', 'degree')	2	
('Products', 'Automotive')	2	
('origin', 'age')	2	
('analysis', 'Optimization')	2	
('libraries', 'help')	2	
('documents', 'prove')	2	
('prototypes', 'production')	2	
('collecting', 'cleaning')	2	
('pig', 'tools')	2	
('Health', 'Care')	2	
('experiments', 'Coordinate')	2	
('back', 'listings')	2	
('engineers', 'analytics')	2	
('team', 'engineering')	2	
('race', 'color')	2	
('color', 'religion')	2	
('engineering', 'computer')	2	
('Thank', 'interest')	2	
('Service', 'Center')	2	
('Inc', 'rights')	2	
('Scientist', 'PayPal')	2	
('result', 'loss')	2	
('etc', 'advanced')	2	
('learn', 'well')	2	
('framework', 'hive')	2	
('Create', 'informative')	2	
('part', 'small')	2	
('TACC', '39')	2	
('data', 'Help')	2	
('Analysis', 'Internal')	2	
('resource', 'requirements')	2	
('Restaurants', 'Health')	2	
('search', 'Start')	2	
('reduce', 'framework')	2	
('application', 'process')	2	
('help', 'analytics')	2	
('Building', 'Dashboards')	2	
('build', 'appropriate')	2	
('R', 'SPlus')	2	
('statistics', 'plus')	2	
('TX', 'Data')	2	
('Austin', 'Posting')	2	
('Well', 'versed')	2	
('messy', 'datasets')	2	
('engineering', 'Minimum')	2	
('doesn', 'seem')	2	
('linking', 'large')	2	
('field', 'math')	2	
('data', 'analytical')	2	
('Industries', 'Retail')	2	
('statisticians', 'identify')	2	
('support', 'Iframes')	2	
('Human', 'Resource')	2	
('problems', 'Create')	2	
('etc', 'using')	2	
('statistics', 'software')	2	
('data', 'resource')	2	
('members', 'translate')	2	
('write', 'execute')	2	
('epidemiology', 'neuroinformatics')	2	
('Automotive', 'Restaurants')	2	
('looking', 'people')	2	
('Hadoop', 'HBase')	2	
('Start', 'application')	2	
('Log', 'LinkedIn')	2	
('Log', 'using')	2	
('GNS', 'Healthcare')	2	
('Perl', 'statistics')	2	
('knowledge', 'various')	2	
('improve', 'performance')	2	
('interesting', 'stories')	2	
('tools', 'accessing')	2	
('building', 'algorithms')	2	
('opportunities', 'eBay')	2	
