Total_words: 101126 
Word	Word_Count
('Austin', 'TX')	334	
('Software', 'Engineer')	134	
('Monster', 'LinkedIn')	119	
('Computer', 'Science')	98	
('Engineer', 'Engineering')	87	
('Outside', 'Sales')	80	
('Privacy', 'Policy')	80	
('Engineer', 'Austin')	71	
('open', 'source')	70	
('Austin', 'Texas')	70	
('LinkedIn', 'indeed')	68	
('using', 'existing')	68	
('LinkedIn', 'Indeed')	68	
('existing', 'account')	68	
('Inside', 'Sales')	65	
('rights', 'reserved')	65	
('email', 'address')	61	
('Field', 'Satellite')	60	
('Remote', 'Field')	60	
('software', 'development')	60	
('Satellite', 'Office')	60	
('Supply', 'Chain')	59	
('team', 'members')	52	
('Human', 'Resources')	52	
('veteran', 'status')	51	
('Remember', 'help')	51	
('Recruiters', 'Employers')	51	
('CyberCoders', 'account')	51	
('CyberCoders', 'Inc')	51	
('account', 'using')	51	
('Employers', 'Insights')	51	
('Show', 'updated')	50	
('Middle', 'East')	50	
('updated', 'list')	50	
('Inc', 'rights')	49	
('best', 'practices')	49	
('Texas', 'Austin')	49	
('Software', 'Development')	49	
('national', 'origin')	49	
('SW', 'Engr')	48	
('problem', 'solving')	47	
('without', 'regard')	46	
('Infrastructure', 'Management')	46	
('QA', 'Engineer')	46	
('East', 'Africa')	45	
('Procurement', 'Supply')	45	
('Europe', 'Middle')	45	
('Sales', 'Inside')	45	
('cover', 'letter')	44	
('University', 'Texas')	43	
('attach', 'resume')	43	
('race', 'color')	42	
('5', 'years')	42	
('color', 'religion')	42	
('C', 'C++')	42	
('ideal', 'candidate')	41	
('regard', 'race')	41	
('Big', 'Data')	41	
('Python', 'Developer')	40	
('Africa', 'Europe')	40	
('Open', 'Position')	40	
('fast', 'paced')	40	
('TX', 'US')	39	
('apply', 'email')	39	
('Bachelor', 'degree')	38	
('Software', 'Developer')	38	
('2+', 'years')	37	
('DevOps', 'Engineer')	37	
('PDF', 'format')	36	
('Remember', 'specify')	36	
('specify', 'position')	36	
('position', 'wish')	36	
('Facebook', 'Twitter')	36	
('letter', 'salary')	36	
('high', 'quality')	36	
('plaintext', 'Microsoft')	36	
('wish', 'apply')	36	
('email', 'zenoss')	36	
('zenoss', 'Include')	36	
('history', 'attach')	36	
('salary', 'history')	36	
('Microsoft', 'Word')	36	
('resume', 'plaintext')	36	
('Word', 'PDF')	36	
('format', 'Remember')	36	
('Include', 'cover')	36	
('Development', 'Engineer')	35	
('large', 'scale')	35	
('Office', 'Remote')	35	
('CyberCoders', 'Log')	34	
('Indeed', 'Log')	34	
('Log', 'LinkedIn')	34	
('using', 'CyberCoders')	34	
('indeed', 'Monster')	34	
('Log', 'using')	34	
('Indeed', 'Monster')	34	
('TX', 'time')	34	
('1999', '2014')	34	
('2014', 'CyberCoders')	34	
('help', 'Monster')	34	
('recruiting', 'position')	34	
('Log', 'Remember')	34	
('sexual', 'orientation')	34	
('Data', 'Center')	33	
('5+', 'years')	33	
('apply', 'Top')	33	
('Senior', 'Software')	33	
('Engineer', 'SW')	33	
('Golden', 'Frog')	33	
('related', 'field')	33	
('include', 'limited')	32	
('Go', 'back')	32	
('social', 'media')	31	
('TX', 'Austin')	31	
('Sales', 'Operations')	31	
('responsibilities', 'include')	31	
('software', 'engineers')	30	
('email', 'agent')	30	
('Zenoss', 'Service')	30	
('Management', 'Procurement')	30	
('Technical', 'Support')	30	
('degree', 'Computer')	29	
('US', 'TX')	29	
('Hong', 'Kong')	29	
('written', 'verbal')	29	
('Test', 'Engineer')	29	
('Python', 'Django')	29	
('Python', 'Ruby')	29	
('next', 'generation')	29	
('Us', 'Us')	28	
('Support', 'Support')	28	
('machine', 'learning')	28	
('Management', 'Support')	28	
('origin', 'age')	27	
('United', 'Kingdom')	27	
('copy', '2014')	27	
('product', 'development')	27	
('front', 'end')	27	
('Qualifications', 'include')	27	
('Program', 'Management')	27	
('Project', 'Management')	26	
('3+', 'years')	26	
('Data', 'Foundry')	26	
('web', 'based')	26	
('Developer', 'Austin')	26	
('Call', 'Duty')	26	
('options', 'preselected')	25	
('new', 'technologies')	25	
('Management', 'Outside')	25	
('Us', 'Privacy')	25	
('Marketing', 'Marketing')	25	
('Rights', 'Reserved')	25	
('First', 'Last')	25	
('Servi', 'os')	25	
('full', 'time')	25	
('Sales', 'Engineering')	25	
('scripting', 'languages')	25	
('SWOU', 'Sales')	25	
('Python', 'Perl')	25	
('Posted', '04')	24	
('Site', 'Map')	24	
('large', 'accounts')	24	
('design', 'implementation')	24	
('qualified', 'applicants')	24	
('Czech', 'Republic')	24	
('one', 'following')	24	
('development', 'team')	24	
('San', 'Antonio')	24	
('Preferred', 'Skills')	24	
('Sales', 'Engineer')	23	
('religion', 'sex')	23	
('web', 'services')	23	
('Search', 'Results')	23	
('Engineering', 'Engineering')	23	
('receive', 'consideration')	23	
('data', 'center')	23	
('employment', 'without')	23	
('applicants', 'receive')	23	
('Twitter', 'LinkedIn')	23	
('Latin', 'America')	23	
('configuration', 'management')	23	
('per', 'week')	22	
('Upload', 'Resume')	22	
('Management', 'Engineering')	22	
('sex', 'national')	22	
('Web', 'Developer')	22	
('scripting', 'language')	22	
('Customer', 'Support')	22	
('consideration', 'employment')	22	
('world', 'class')	22	
('track', 'record')	22	
('Solution', 'Architect')	21	
('M', 'F')	21	
('F', 'D')	21	
('Thank', 'interest')	21	
('Service', 'Dynamics')	21	
('D', 'V')	21	
('required', 'apply')	21	
('Computer', 'Engineering')	21	
('object', 'oriented')	21	
('team', 'environment')	21	
('cloud', 'based')	21	
('Management', 'Security')	21	
('17', '2014')	21	
('verbal', 'communication')	21	
('resume', 'resume')	21	
('Dump', 'Truck')	21	
('Science', 'related')	21	
('Event', 'Management')	21	
('3', '5')	21	
('big', 'data')	20	
('back', 'end')	20	
('Halo', '4')	20	
('computer', 'science')	20	
('equal', 'opportunity')	20	
('OK', 'OK')	20	
('Engineering', 'Operations')	20	
('real', 'time')	20	
('preselected', 'Filter')	20	
('Map', 'Pack')	20	
('test', 'cases')	20	
