Total_words: 40062 
Word	Word_Count
('Data', 'Scientist')	245	
('New', 'York')	229	
('York', 'NY')	105	
('machine', 'learning')	101	
('data', 'mining')	70	
('Big', 'Data')	62	
('data', 'sets')	47	
('Privacy', 'Policy')	41	
('big', 'data')	39	
('email', 'address')	38	
('Computer', 'Science')	35	
('Machine', 'Learning')	33	
('data', 'analysis')	31	
('data', 'science')	30	
('Data', 'Science')	29	
('data', 'scientist')	29	
('Senior', 'Data')	28	
('computer', 'science')	28	
('New', 'Jersey')	28	
('data', 'analytics')	26	
('Scientist', 'New')	26	
('large', 'data')	25	
('cutting', 'edge')	24	
('data', 'sources')	22	
('resume', 'resume')	21	
('statistical', 'analysis')	21	
('York', 'New')	20	
('Paperless', 'Post')	20	
('Go', 'back')	20	
('data', 'driven')	19	
('predictive', 'modeling')	19	
('Two', 'Sigma')	18	
('Data', 'Engineer')	17	
('Data', 'Analytics')	16	
('R', 'Matlab')	16	
('unstructured', 'data')	16	
('rights', 'reserved')	15	
('ideal', 'candidate')	15	
('copy', '2014')	15	
('related', 'field')	15	
('data', 'visualization')	15	
('digital', 'media')	15	
('Ph', 'D')	15	
('San', 'Francisco')	14	
('high', 'impact')	14	
('quantitative', 'discipline')	14	
('Forgot', 'password')	14	
('language', 'processing')	14	
('Monster', 'LinkedIn')	14	
('learning', 'algorithms')	14	
('large', 'scale')	14	
('equal', 'opportunity')	13	
('data', 'scientists')	13	
('5+', 'years')	13	
('real', 'time')	13	
('problem', 'solving')	13	
('Pig', 'Hive')	13	
('statistical', 'methods')	13	
('digital', 'marketing')	13	
('natural', 'language')	13	
('least', 'one')	13	
('written', 'verbal')	13	
('real', 'world')	13	
('Singapore', 'South')	13	
('fast', 'paced')	13	
('Software', 'Engineer')	13	
('NY', 'US')	13	
('Scientist', 'Data')	12	
('Capital', 'IQ')	12	
('products', 'services')	12	
('Data', 'Mining')	12	
('Facebook', 'Twitter')	12	
('Science', 'team')	12	
('back', 'listings')	12	
('mining', 'machine')	12	
('national', 'origin')	12	
('Proven', 'ability')	11	
('best', 'practices')	11	
('around', 'world')	11	
('programming', 'languages')	11	
('looking', 'Data')	11	
('working', 'large')	11	
('NY', 'United')	11	
('address', 'Phone')	11	
('high', 'quality')	11	
('Operations', 'Research')	11	
('Advanced', 'degree')	11	
('NY', 'New')	11	
('sexual', 'orientation')	11	
('Marketing', 'Analytics')	11	
('Resume', 'resume')	11	
('benefits', 'package')	10	
('First', 'Last')	10	
('Cover', 'Letter')	10	
('mining', 'modeling')	10	
('P', 'Capital')	10	
('without', 'regard')	10	
('data', 'visualizations')	10	
('Analytics', 'team')	10	
('data', 'data')	10	
('Scientist', 'Big')	10	
('Science', 'Engineering')	10	
('regard', 'race')	10	
('data', 'modeling')	10	
('Roseland', 'NJ')	10	
('Jersey', 'NJ')	10	
('analytics', 'team')	10	
('Hadoop', 'Pig')	9	
('veteran', 'status')	9	
('learning', 'data')	9	
('rapidly', 'growing')	9	
('functional', 'teams')	9	
('Us', 'Testimonials')	9	
('use', 'cookies')	9	
('scale', 'data')	9	
('Arab', 'Emirates')	9	
('Sloan', 'Kettering')	9	
('learning', 'techniques')	9	
('using', 'existing')	9	
('cross', 'functional')	9	
('social', 'media')	9	
('Connections', 'New')	9	
('world', 'class')	9	
('College', 'Board')	9	
('Hadoop', 'Hive')	9	
