Total_words: 1194 
Word	Word_Count
('Data', 'Scientist')	11	
('Austin', 'TX')	4	
('Non', 'citizen')	3	
('healthcare', 'industry')	3	
('analytical', 'services')	3	
('advanced', 'analytics')	3	
('data', 'sets')	3	
('business', 'needs')	3	
('Healthcare', 'Data')	3	
('Revionics', 'solutions')	3	
('Using', 'advanced')	3	
('GNS', 'Healthcare')	2	
('Please', 'fix')	2	
('job', 'listings')	2	
('JobScore', 'Privacy')	2	
('Senior', 'Healthcare')	2	
('employer', 'Non')	2	
('Attach', 'resume')	2	
('machine', 'learning')	2	
('highlighted', 'red')	2	
('Must', 'strong')	2	
('non', 'technical')	2	
('problems', 'highlighted')	2	
('technical', 'non')	2	
('email', 'address')	2	
('allowed', 'work')	2	
('fix', 'problems')	2	
('skills', 'Excellent')	2	
('Top', '100')	2	
('SQL', 'Server')	2	
('Permanent', 'Resident')	2	
('Paste', 'resume')	2	
('Herring', 'Top')	2	
('Learning', 'Predictive')	2	
('Optimization', 'solutions')	2	
('Privacy', 'Policy')	2	
('Citizen', 'Permanent')	2	
('Go', 'back')	2	
('Revionics', 'Price')	2	
('optimization', 'solutions')	2	
('reduce', 'costs')	2	
('Data', 'Analytics')	2	
('back', 'job')	2	
('Machine', 'Learning')	2	
('resume', 'Paste')	2	
('etc', 'Using')	2	
('5', 'years')	2	
('Omni', 'channel')	2	
('laquo', 'Go')	2	
('citizen', 'allowed')	2	
('feature', 'selection')	2	
('helping', 'us')	2	
('learning', 'techniques')	2	
('modeling', 'techniques')	2	
('needs', 'constraints')	2	
('Analytical', 'Services')	2	
('track', 'record')	2	
('Skills', '1')	2	
('Red', 'Herring')	2	
('demand', 'models')	2	
('Predictive', 'Modeling')	2	
('acumen', 'Ability')	1	
('Min', 'Experience')	1	
('phone', 'calls')	1	
('customers', 'Data')	1	
('Programming', 'proficiency')	1	
('Working', 'wide')	1	
('delivers', 'industry')	1	
('events', 'eg')	1	
('Miner', 'SPSS')	1	
('1', 'Hands')	1	
('understanding', 'core')	1	
('new', 'views')	1	
('great', 'results')	1	
('exploration', 'data')	1	
('red', 'Subject')	1	
('analysis', 'clustering')	1	
('fact', 'based')	1	
('goal', 'Data')	1	
('Degree', 'Masters')	1	
('long', 'term')	1	
('methods', 'K')	1	
('Analytics', 'Data')	1	
('new', 'features')	1	
('relocate', 'answer')	1	
('Apply', 'Apply')	1	
('enhancements', 'functional')	1	
('Big', 'Data')	1	
('retail', 'locations')	1	
('Forward', 'Position')	1	
('Basket', 'Analysis')	1	
('understanding', 'probability')	1	
('OBIEE', 'etc')	1	
('Job', 'Spread')	1	
('Word', 'right')	1	
('Apply', 'Job')	1	
('Informatica', 'Pervasive')	1	
('marketing', 'planning')	1	
('solutions', 'system')	1	
('development', 'team')	1	
('industry', 'use')	1	
('SSIS', 'etc')	1	
('laquo', 'Back')	1	
('us', 'create')	1	
('ED', 'visits')	1	
('meet', 'customer')	1	
('satisfaction', 'Revionics')	1	
('skills', 'Excel')	1	
('Recipient', 'email')	1	
('workplace', 'great')	1	
('Required', 'Fields')	1	
('predictive', 'analytics')	1	
('technical', 'personnel')	1	
('creating', 'new')	1	
('developing', 'deploying')	1	
('Email', 'address')	1	
('services', 'analysis')	1	
('using', 'creative')	1	
('advanced', 'modeling')	1	
('Share', 'Forward')	1	
('fields', 'Using')	1	
('Board', 'Go')	1	
('contribute', 'predictions')	1	
('responsible', 'delivery')	1	
('multi', 'disciplinary')	1	
('Nice', 'Skills')	1	
('knowledge', 'within')	1	
('Pervasive', 'Sunopsis')	1	
('Scientist', 'job')	1	
('solution', 'Data')	1	
('Strong', 'business')	1	
('Cover', 'Letter')	1	
('ability', 'apply')	1	
('listings', 'Senior')	1	
('Evaluating', 'models')	1	
('executive', 'presentations')	1	
('Engineering', 'Physical')	1	
('listings', 'Apply')	1	
('calls', 'Recruiters')	1	
('industry', 'Federal')	1	
('years', 'significant')	1	
('transfer', 'throughout')	1	
('deliver', 'evolve')	1	
('mathematical', 'statistical')	1	
('social', 'mobile')	1	
('programming', 'R')	1	
('mobile', 'Offered')	1	
('scientific', 'capabilities')	1	
('create', 'fun')	1	
('+', '10')	1	
('business', 'context')	1	
('regression', 'analysis')	1	
('primary', 'responsibility')	1	
('Matlab', 'SAS')	1	
('Scientist', 'Location')	1	
('outcomes', 'reduce')	1	
('based', 'science')	1	
('Email', 'Remember')	1	
('Sciences', 'preferred')	1	
('proof', 'value')	1	
('opening', 'Analytical')	1	
('complex', 'retail')	1	
('Customer', 'Segmentation')	1	
('closely', 'science')	1	
('Price', 'Optimization')	1	
('visualizing', 'results')	1	
('topics', 'advise')	1	
('assets', 'Besides')	1	
('needs', 'Knowledge')	1	
('team', 'need')	1	
('pdf', 'doc')	1	
('services', 'Revionics')	1	
('meaningful', 'sub')	1	
('system', 'maximize')	1	
('market', 'Implement')	1	
('work', 'closely')	1	
('Job', 'Please')	1	
('data', 'performing')	1	
('software', 'develop')	1	
('statistical', 'machine')	1	
('write', 'SQL')	1	
('solutions', 'Revionics')	1	
('least', '5')	1	
('Try', 'creative')	1	
('client', 'team')	1	
('Requirements', 'Advanced')	1	
('Claims', 'data')	1	
('Healthcare', 'analytics')	1	
('Elasticity', 'Workbenches')	1	
('techniques', 'Linear')	1	
('strong', 'Machine')	1	
('Candidate', 'Attributes')	1	
('customer', 'satisfaction')	1	
('100', 'Global')	1	
('Familiarity', 'ETL')	1	
('challenges', 'using')	1	
('likelihood', 'Bayesian')	1	
('eg', 'Medication')	1	
('building', 'materials')	1	
('industry', 'leading')	1	
('salary', 'Earliest')	1	
('eligibility', 'answer')	1	
('anything', 'less')	1	
('6', 'Must')	1	
('Knime', 'Additionally')	1	
('clustering', 'Key')	1	
('various', 'software')	1	
('insurance', 'employees')	1	
('Business', 'Intelligence')	1	
('data', 'transforming')	1	
('Chain', 'Management')	1	
('first', 'Connecting')	1	
('Server', 'SQL')	1	
('shopper', 'demand')	1	
('Familiarity', 'Supply')	1	
('Market', 'Basket')	1	
('Agglomerative', 'Strong')	1	
('say', 'something')	1	
('context', 'advanced')	1	
('data', 'creating')	1	
('strong', 'SQL')	1	
('science', 'related')	1	
('analytical', 'tools')	1	
('team', 'Data')	1	
('performance', 'individuals')	1	
('problems', 'Excellent')	1	
('Deploying', 'models')	1	
('Programming', 'Sequential')	1	
('Time', 'Min')	1	
('options', 'vacation')	1	
('explain', 'advanced')	1	
('sizes', 'execute')	1	
('000', 'retail')	1	
('build', 'Analytics')	1	
('environment', 'part')	1	
('Oracle', 'OBIEE')	1	
('apply', 'complex')	1	
('business', 'Familiarity')	1	
('programming', 'experience')	1	
('Company', 'Culture')	1	
('etc', 'laquo')	1	
('Culture', 'philosophy')	1	
('Algorithms', 'Simulated')	1	
('Familiarity', 'optimization')	1	
('employment', 'eligibility')	1	
('selection', '3')	1	
('looking', 'build')	1	
('Retail', 'business')	1	
('Human', 'Check')	1	
('fun', 'dynamic')	1	
('statistics', 'Outlier')	1	
('Scientist', 'GNS')	1	
('related', 'healthcare')	1	
('optional', 'laquo')	1	
('balance', 'statistical')	1	
('healthcare', 'adoption')	1	
('name', 'Last')	1	
('RapidMiner', 'Knime')	1	
('hierarchical', 'Hierarchical')	1	
('NoSQL', 'plus')	1	
('Desired', 'salary')	1	
('Deloitte', 'Technology')	1	
('Apply', 'Position')	1	
('Name', 'Email')	1	
('success', 'passion')	1	
('vibrant', 'downtown')	1	
('effective', 'use')	1	
('advanced', 'machine')	1	
('date', '150')	1	
('seeking', 'work')	1	
('Position', 'Recipient')	1	
('retailers', 'successful')	1	
('leverage', 'advanced')	1	
('Revionics', 'Austin')	1	
('create', 'advanced')	1	
('doc', 'docx')	1	
('experience', 'Claims')	1	
('Scientist', 'also')	1	
('consumer', 'demand')	1	
('identification', 'Market')	1	
('Implement', 'Revionics')	1	
('significant', 'portion')	1	
('opportunities', 'Understanding')	1	
('creative', 'approaches')	1	
('division', 'beautiful')	1	
('grocery', 'drug')	1	
('results', 'clients')	1	
('transform', 'healthcare')	1	
('expert', 'level')	1	
('Commercialization', 'Healthcare')	1	
('services', 'specialized')	1	
('TRACKING', 'Enter')	1	
('empowers', 'payers')	1	
('Type', 'Full')	1	
('Physical', 'Sciences')	1	
('less', 'star')	1	
('deliver', 'maximum')	1	
('episode', 'online')	1	
('GNS', 'offers')	1	
('stand', 'alone')	1	
('adviser', 'data')	1	
('D', 'Mathematics')	1	
('skills', 'Strong')	1	
('business', 'challenges')	1	
('statistical', 'solutions')	1	
('Excel', 'Matlab')	1	
('engineering', 'statistics')	1	
('well', 'also')	1	
('new', 'services')	1	
('good', 'day')	1	
('PhD', 'applied')	1	
('identify', 'interesting')	1	
('work', 'highly')	1	
('Enter', 'message')	1	
('companies', 'make')	1	
('growing', 'division')	1	
('forefront', 'exciting')	1	
('powered', 'JobScore')	1	
('squares', 'maximum')	1	
('Additionally', 'visualization')	1	
('develop', 'expert')	1	
('Analysis', 'Customer')	1	
('time', 'helping')	1	
('attach', 'resume')	1	
('Mathematics', 'Engineering')	1	
('reliable', 'actionable')	1	
('Item', 'identification')	1	
('Yes', 'citizenship')	1	
('create', 'new')	1	
('Sr', 'Healthcare')	1	
('enabling', 'retailers')	1	
('management', 'data')	1	
('address', 'one')	1	
('experience', 'MATLAB')	1	
('configuration', 'Revionics')	1	
('delivery', 'analytical')	1	
('SQL', 'Oracle')	1	
('disciplinary', 'project')	1	
('configuration', 'system')	1	
('Forward', 'Job')	1	
('Strong', 'quantitative')	1	
('packages', 'plus')	1	
('Sequential', 'Quadratic')	1	
('exercises', 'Conduct')	1	
('products', 'services')	1	
('www', 'revionics')	1	
('please', 'visit')	1	
('association', 'rules')	1	
('Need', 'Position')	1	
('responsibility', 'support')	1	
('solution', 'enabling')	1	
('resume', 'attach')	1	
('solving', 'expected')	1	
('profiles', 'ensure')	1	
('eCommerce', 'sites')	1	
('computational', 'platforms')	1	
('name', 'Email')	1	
('names', 'contact')	1	
('following', 'position')	1	
('us', 'change')	1	
('Last', 'name')	1	
('file', 'Cover')	1	
('Offered', 'scalable')	1	
('Classification', 'Clustering')	1	
('Talent', 'Network')	1	
('data', 'exploration')	1	
('must', '6')	1	
('k', 'nearest')	1	
('specialized', 'customer')	1	
('one', 'name')	1	
('team', 'seeking')	1	
('tools', 'SAS')	1	
('health', 'reduce')	1	
('standard', 'analytical')	1	
('raquo', 'laquo')	1	
('Excellent', 'data')	1	
('JMP', 'Securities')	1	
('filtering', 'k')	1	
('intelligent', 'data')	1	
('mid', 'senior')	1	
('Operations', 'Job')	1	
('job', 'Join')	1	
('costs', 'growing')	1	
('signals', 'enhance')	1	
('across', 'grocery')	1	
('clients', 'Advocating')	1	
('solutions', 'Deliver')	1	
('downtown', 'Austin')	1	
('locations', '140+B')	1	
('statistical', 'rigor')	1	
('day', 'basis')	1	
('TX', 'powered')	1	
('day', 'day')	1	
('Crystal', 'Reports')	1	
('Impact', 'Analysis')	1	
('sophisticated', 'mathematical')	1	
('resume', 'pdf')	1	
('join', 'team')	1	
('working', 'relational')	1	
('Zone', 'clustering')	1	
('tell', 'us')	1	
('plus', '3')	1	
('Job', 'Board')	1	
('MS', '+')	1	
('queries', 'SQL')	1	
('organization', 'Requirements')	1	
('models', 'visualizing')	1	
('Non', 'hierarchical')	1	
('Product', 'Type')	1	
('tools', 'work')	1	
('position', 'Revionics')	1	
('use', 'advanced')	1	
('change', 'healthcare')	1	
('SQL', 'queries')	1	
('Describe', 'perfect')	1	
('Experience', 'Experienced')	1	
('Conduct', 'Value')	1	
('improve', 'health')	1	
('Server', 'Analysis')	1	
('providing', 'speed')	1	
('Policy', 'Required')	1	
('Modeling', 'Data')	1	
('Advanced', 'Degree')	1	
('system', 'recommendations')	1	
('lift', 'characteristics')	1	
('deploying', 'sophisticated')	1	
('Store', 'Clustering')	1	
('POWERED', 'APPLICANT')	1	
('make', 'reliable')	1	
('solving', 'difficult')	1	
('record', 'solving')	1	
('methods', 'identify')	1	
('MATLAB', 'Python')	1	
('health', 'dental')	1	
('powerful', 'End')	1	
('business', 'concepts')	1	
('Department', 'Product')	1	
('Scientist', 'responsible')	1	
('optimization', 'software')	1	
('views', 'data')	1	
('selection', 'etc')	1	
('Location', 'Austin')	1	
('techniques', 'make')	1	
('100', 'Americas')	1	
('plus', '5')	1	
('identification', 'methodologies')	1	
('leading', 'pricing')	1	
('TX', 'Operations')	1	
('SAS', 'Matlab')	1	
('characters', 'fewer')	1	
('Measurement', 'analysis')	1	
('software', 'SAS')	1	
('knowledge', 'statistical')	1	
('Message', 'thought')	1	
('explainable', 'predictions')	1	
('Letter', 'referred')	1	
('teams', 'delivering')	1	
('mathematics', 'physics')	1	
('seasonality', 'profiles')	1	
('amp', 'statistics')	1	
('predictions', 'precision')	1	
('levels', 'effective')	1	
('Excellent', 'presentation')	1	
('merchants', 'marketing')	1	
('address', 'Enter')	1	
('Americas', 'JMP')	1	
('individual', 'work')	1	
('least', 'squares')	1	
('Hierarchical', 'Agglomerative')	1	
('maximize', 'value')	1	
('project', 'teams')	1	
('help', 'partners')	1	
('bring', 'balance')	1	
('predictions', 'eg')	1	
('visualization', 'skills')	1	
('Simulated', 'Annealing')	1	
('C', 'Java')	1	
('based', 'Omni')	1	
('Revionics', 'customers')	1	
('ability', 'write')	1	
('fast', 'paced')	1	
('analytical', 'platform')	1	
('exploring', 'large')	1	
('information', 'get')	1	
('Scientist', 'join')	1	
('placement', 'space')	1	
('analytics', 'improve')	1	
('might', 'interested')	1	
('job', 'Revionics')	1	
('channel', 'merchandising')	1	
('promotional', 'lift')	1	
('Merchandise', 'Optimization')	1	
('quantitative', 'skills')	1	
('people', 'experts')	1	
('educator', 'client')	1	
('meet', 'helping')	1	
('C++', 'C')	1	
('150', 'characters')	1	
('performance', 'improved')	1	
('Bayesian', 'estimation')	1	
('PhD', '+')	1	
('disability', '401')	1	
('Policy', 'Share')	1	
('Services', 'Oracle')	1	
('Apply', 'LinkedIn')	1	
